0.0	0.0	0.0	0.0	0.0
G1	0.6665114	0.6927804	0.7025546	0.7291507	0.7147163
G2	0.1272186	0.1735119	0.0965407	0.1646974	0.0789012
G3	0.3550646	0.3080785	0.4955336	0.5393216	0.4215624
G4	0.7745716	0.5990709	0.6290043	0.7087402	0.6301302
G5	0.1004299	0.1445523	0.1394119	0.1237001	0.0850342
G6	0.275493	0.2494241	0.2777284	0.2432843	0.3092021
G7	0.6067846	0.5905584	0.5852446	0.3970339	0.4516194
G8	0.7430983	0.636797	0.6987308	0.7599215	0.6951692
G9	0.6656366	0.6891143	0.7189792	0.6285854	0.8362663
G10	0.6950638	0.6944974	0.6317014	0.6076601	0.6439763
